"source","filename","time2scrape"
"dmccooey","RegularTriangularToroid24A1.txt","0.596"
"dmccooey","SelfDualHexadecahedron100.txt","0.597"
"netlib","126","0.597"
"netlib","55","0.598"
"netlib","118","0.599"
"dmccooey","ChamferedCube3.txt","0.6"
"dmccooey","RegularHexagonalToroid14B_D2Sym1.txt","0.6"
"dmccooey","SimplestD7h_2.txt","0.6"
"dmccooey","DodecahedronIcosahedronCompound1.txt","0.601"
"dmccooey","SelfDualTetradecahedron15.txt","0.601"
"dmccooey","BiscribedPropelloIcosahedron.txt","0.602"
"dmccooey","OctagrammicTrapezohedron.txt","0.604"
"dmccooey","SimplestIh_1.txt","0.606"
"dmccooey","CanonicalTruncatedTruncatedCuboctahedron.txt","0.608"
"netlib","104","0.608"
"dmccooey","JoinedRhombicuboctahedron.txt","0.613"
"dmccooey","SelfDualHendecahedron2.txt","0.613"
"dmccooey","SimplestD3_1.txt","0.614"
"dmccooey","PentakisLsnubDodecahedron.txt","0.619"
"dmccooey","RegularTriangularToroid24B.txt","0.619"
"dmccooey","CanonicalTruncatedLsnubCube.txt","0.625"
"dmccooey","RegularHexagonalToroid14B.txt","0.625"
"dmccooey","SimplestC3_1.txt","0.625"
"dmccooey","SelfDualTridecahedron37.txt","0.628"
"dmccooey","BiscribedPropelloDisdyakisDodecahedron.txt","0.629"
"dmccooey","SelfDualPentadecahedron414.txt","0.631"
"dmccooey","SelfDualHexadecahedron9.txt","0.633"
"dmccooey","SelfDualOctahedron3.txt","0.634"
"dmccooey","TriakisTetrahedron.txt","0.635"
"dmccooey","GreatIcosidodecahedron.txt","0.636"
"dmccooey","AntiHexagonalIrisToroid.txt","0.637"
"dmccooey","SelfDualTetradecahedron8.txt","0.639"
"netlib","33","0.64"
"netlib","85","0.64"
"dmccooey","RegularTriangularToroid24C.txt","0.641"
"dmccooey","UniformGreatRhombicuboctahedron.txt","0.641"
"dmccooey","Octahedron.txt","0.644"
"netlib","56","0.644"
"dmccooey","SelfDualDodecahedron4.txt","0.647"
"dmccooey","SelfDualDecahedron13.txt","0.654"
"dmccooey","SimplestD8h_1.txt","0.656"
"dmccooey","SelfDualHexadecahedron2.txt","0.657"
"dmccooey","PentagonalTrapezohedronToroid.txt","0.658"
"dmccooey","HexagonalAntiprism.txt","0.66"
"netlib","23","0.661"
"dmccooey","MedialIcosacronicHexecontahedron.txt","0.662"
"dmccooey","BiscribedPentakisDodecahedron.txt","0.664"
"dmccooey","Rhombicosahedron.txt","0.665"
"dmccooey","SelfDualTetrahedron.txt","0.665"
"dmccooey","SmallDodecacronicHexecontahedron.txt","0.665"
"dmccooey","TruncatedIcosahedron.txt","0.666"
"dmccooey","GreatTruncatedIcosidodecahedron.txt","0.668"
"dmccooey","RegularTriangularToroid24D.txt","0.668"
"dmccooey","TruncatedDodecadodecahedron.txt","0.669"
"netlib","97","0.669"
"dmccooey","SelfDualHendecahedron22.txt","0.672"
"dmccooey","TriangularAntiprism.txt","0.672"
"netlib","44","0.672"
"dmccooey","Escher.txt","0.673"
"dmccooey","PropelloTetrakisHexahedron.txt","0.673"
"dmccooey","SelfDualTetradecahedron178.txt","0.673"
"dmccooey","SimplestD3_2.txt","0.675"
"dmccooey","SelfDualHexadecahedron11.txt","0.676"
"dmccooey","BiscribedTruncatedOctahedron.txt","0.677"
"netlib","135","0.677"
"dmccooey","SelfDualOctahedron5.txt","0.679"
"dmccooey","DeltoidalIcositetrahedron.txt","0.681"
"dmccooey","SimplestC3_2.txt","0.685"
"dmccooey","SimplestTh_2.txt","0.687"
"dmccooey","ChamferedOctahedron1.txt","0.688"
"dmccooey","GreatStellatedTruncatedDodecahedron.txt","0.688"
"dmccooey","GreatRetrosnubIcosidodecahedron.txt","0.694"
"dmccooey","GeodesicIcosahedron5.txt","0.695"
"netlib","65","0.696"
"dmccooey","SelfDualTridecahedron39.txt","0.697"
"dmccooey","HeptagonalDodecahedronE1.txt","0.701"
"netlib","6","0.702"
"dmccooey","SelfDualDecahedron19.txt","0.705"
"dmccooey","SelfDualDodecahedron5.txt","0.705"
"dmccooey","SimplestD3h_1.txt","0.706"
"netlib","57","0.707"
"dmccooey","BorromeanRings.txt","0.712"
"dmccooey","DualGeodesicIcosahedron2.txt","0.712"
"dmccooey","SelfDualPentadecahedron47.txt","0.712"
"netlib","17","0.712"
"dmccooey","GeodesicRT3.txt","0.713"
"netlib","39","0.713"
"dmccooey","Octahemioctahedron.txt","0.715"
"dmccooey","PentagrammicAntiprism.txt","0.715"
"dmccooey","SelfDualHexadecahedron92.txt","0.715"
"dmccooey","SimplestIh_2.txt","0.715"
"dmccooey","BiscribedPropelloOctahedron.txt","0.717"
"dmccooey","AntiOctagonalIrisToroid1.txt","0.72"
"dmccooey","TriangularBifrustum.txt","0.72"
